ID_TA;cuisines;price;price_min;price_max;price_range;work_hours;time_break;work_day_in_week;latitude;longitude;rank;over_rank;reviews_cnt
d3842331;{'Vegetarian Friendly', 'Vegan Options', 'Italian'};$;;;;5.428571428571429;1.0;7.0;45.481716;9.219533;174.0;6806.0;408.0
d7823625;{'French', 'Seafood', 'European'};$$ - $$$;;;;6.642857142857143;1.0;7.0;48.865635;2.346342;3753.0;15768.0;192.0
d1347989;{'French', 'Seafood', 'European'};;;;;;0.0;;52.51191;13.24077;5027.0;5679.0;6.0
d7620398;{'Wine Bar', 'Mediterranean', 'Portuguese', 'European'};$$ - $$$;1041.0;2603.0;1562.0;4.5;0.0;7.0;;;274.0;4626.0;1187.0
d5775838;{'Cafe', 'Mediterranean', 'European'};$$ - $$$;;;;14.142857142857142;0.0;7.0;;;4021.0;10457.0;137.0
d9712548;{'Vegan Options', 'Cafe', 'Vegetarian Friendly', 'Pizza', 'Gluten Free Options'};$$ - $$$;;;;14.5;0.0;7.0;;;6913.0;17339.0;194.0
d718161;{'Vegan Options', 'French', 'European', 'Vegetarian Friendly', 'Gluten Free Options'};$$ - $$$;;;;4.571428571428571;1.0;7.0;48.84971;2.325105;873.0;15768.0;779.0
d8814420;{'French', 'European'};;;;;;0.0;;;;1614.0;1769.0;1.0
d5558314;{'Vegetarian Friendly', 'Greek', 'Mediterranean'};$$ - $$$;;;;;0.0;;53.65611;10.17741;795.0;2894.0;22.0
d1977583;{'French'};$$ - $$$;;;;;0.0;;48.84226;2.36317;14814.0;15768.0;18.0
d718004;{'Vegetarian Friendly', 'French', 'European'};$$ - $$$;2516.0;6073.0;3557.0;6.5;1.0;7.0;48.868877;2.342135;2078.0;15768.0;636.0
d4090558;{'Bar'};$$ - $$$;;;;23.98333333333333;0.0;7.0;52.364094;4.883051;1161.0;3656.0;95.0
d5607812;{'Bar'};;;;;;0.0;;;;;;
d7130855;{'Czech', 'European'};$$ - $$$;;;;11.571428571428571;0.0;7.0;50.08911;14.33038;1686.0;4683.0;36.0
d9781456;{'Czech', 'European'};$;;;;9.0;0.0;7.0;52.48152;13.430178;;;3.0
d2697196;{'Czech', 'European'};;;;;;0.0;;;;;;
d12593957;{'Vegetarian Friendly', 'Barbecue', 'European', 'Steakhouse'};$$ - $$$;;;;;0.0;;53.61426;10.076786;1067.0;2894.0;25.0
d953786;{'Vegetarian Friendly', 'Indian'};$$ - $$$;;;;6.892857142857143;1.0;7.0;;;11551.0;17339.0;48.0
d5079290;{'Indian'};$;;;;0.3571428571428571;0.0;7.0;;;16458.0;17339.0;5.0
d1817220;{'Northern-Italian', 'Lombard', 'Italian'};$$ - $$$;3904.0;6940.0;3036.0;23.98333333333333;0.0;7.0;45.47551;9.183308;1103.0;6806.0;715.0
d12644654;{'Barbecue', 'Chinese', 'Vietnamese'};$$ - $$$;758.0;2273.0;1515.0;8.571428571428571;1.0;7.0;45.47771;9.202599;4437.0;6806.0;11.0
d1212404;{'Vegetarian Friendly', 'American'};$$ - $$$;;;;10.428571428571429;0.0;7.0;60.1834;24.924639;894.0;1392.0;51.0
d8810562;{'African', 'French', 'Gastropub'};$$ - $$$;2082.0;3904.0;1822.0;;0.0;;48.871677;2.2882;9479.0;15768.0;15.0
d5609006;{'Spanish'};$$ - $$$;;;;14.25;0.0;7.0;;;5045.0;10457.0;10.0
